area_name,lat,lon
Mitaka-shi,35.6973591981685,139.57230128377728
Mitaka-shi,35.698885864790896,139.572585188056
Mitaka-shi,35.699771413719816,139.57451824931786
Mitaka-shi,35.7011703055652,139.57537547319964
Mitaka-shi,35.701433666630464,139.5766549161915
Mitaka-shi,35.69882283760393,139.5799151618553
Mitaka-shi,35.69724866699244,139.5848273928699
Mitaka-shi,35.693962865294054,139.58671652404837
Mitaka-shi,35.6889967747814,139.59405481208
Mitaka-shi,35.68700094623671,139.59056452703135
Mitaka-shi,35.68412789198868,139.59361228268074
Mitaka-shi,35.6829028921548,139.59308949418482
Mitaka-shi,35.68214066725807,139.59417863793385
Mitaka-shi,35.68173789238989,139.5933039168424
Mitaka-shi,35.68196631569299,139.59178669220216
Mitaka-shi,35.68204510799541,139.5853200522787
Mitaka-shi,35.67964427876052,139.5882800260025
Mitaka-shi,35.67694094636761,139.58650169939392
Mitaka-shi,35.67458622537407,139.5867244488743
Mitaka-shi,35.67402372101799,139.58740360609158
Mitaka-shi,35.67403677467746,139.58344975380317
Mitaka-shi,35.673394000432836,139.58248863843994
Mitaka-shi,35.6705137480111,139.5885013617485
Mitaka-shi,35.669409585583935,139.58888941561406
Mitaka-shi,35.67128761283311,139.58516666660842
Mitaka-shi,35.67040010787872,139.5845044490212
Mitaka-shi,35.67024483812884,139.58125527940763
Mitaka-shi,35.670715108015884,139.5804538908344
Mitaka-shi,35.67252261312814,139.58004418938788
Mitaka-shi,35.67355397273769,139.5767319710037
Mitaka-shi,35.673137306041895,139.57507197089478
Mitaka-shi,35.67191372084159,139.57844724974086
Mitaka-shi,35.67039705378107,139.57894027157636
Mitaka-shi,35.67023177457679,139.5780900003533
Mitaka-shi,35.66885955932128,139.57771472135732
Mitaka-shi,35.66831927901154,139.57835778158642
Mitaka-shi,35.6689151077461,139.57890805426337
Mitaka-shi,35.665536774802376,139.57980469543043
Mitaka-shi,35.66502597337001,139.58214136163463
Mitaka-shi,35.66247427926464,139.57833635523866
Mitaka-shi,35.66038705441906,139.57690771741727
Mitaka-shi,35.66004066704318,139.5755016076132
Mitaka-shi,35.66271399985129,139.57263136194786
Mitaka-shi,35.66330317090467,139.57260080388403
Mitaka-shi,35.66146317058889,139.57458997384833
Mitaka-shi,35.6617059461725,139.57520941608175
Mitaka-shi,35.664144278935396,139.57301358011273
Mitaka-shi,35.66352980185894,139.56793527938964
Mitaka-shi,35.66506925234415,139.5655711146153
Mitaka-shi,35.668753945638116,139.56436252920741
Mitaka-shi,35.67262783830415,139.56438005159816
Mitaka-shi,35.68284253235703,139.56087066135206
Mitaka-shi,35.68273253178097,139.55674596575375
Mitaka-shi,35.68109069438009,139.55215319101706
Mitaka-shi,35.68206277517697,139.5454387545949
Mitaka-shi,35.68032361314431,139.54470902670027
Mitaka-shi,35.68046055920752,139.54293875531937
Mitaka-shi,35.67053083782798,139.54142953284668
Mitaka-shi,35.6676341979599,139.5421325553732
Mitaka-shi,35.66660530609005,139.54443116676498
Mitaka-shi,35.66427336042727,139.54159866384737
Mitaka-shi,35.66454919778732,139.53908116736204
Mitaka-shi,35.66479836035609,139.5383594937956
Mitaka-shi,35.66547446797239,139.53883172510405
Mitaka-shi,35.66547446797239,139.53745089524273
Mitaka-shi,35.666555278603255,139.53715700399266
Mitaka-shi,35.667128332906316,139.53848924798046
Mitaka-shi,35.66929222495628,139.53558953333038
Mitaka-shi,35.66885583792663,139.53474980485964
Mitaka-shi,35.667551107797465,139.53445061030743
Mitaka-shi,35.66769863978044,139.53137033697158
Mitaka-shi,35.66989944090653,139.53243591398632
Mitaka-shi,35.67075250542382,139.5307114792514
Mitaka-shi,35.67192861271536,139.53066341138742
Mitaka-shi,35.67252277500609,139.529538689559
Mitaka-shi,35.67560750538212,139.5294523348574
Mitaka-shi,35.675612225024224,139.52850761323577
Mitaka-shi,35.67445305376549,139.52794396943875
Mitaka-shi,35.674680000381784,139.52675674382874
Mitaka-shi,35.67629610817892,139.52670007844597
Mitaka-shi,35.67728638675737,139.5278195590255
Mitaka-shi,35.677242775034074,139.52625924786605
Mitaka-shi,35.67913805397808,139.5265948379814
Mitaka-shi,35.679583613193245,139.5253384437143
Mitaka-shi,35.680900000334816,139.52538927429566
Mitaka-shi,35.68119750506088,139.52868066078395
Mitaka-shi,35.68219861327543,139.52820594015213
Mitaka-shi,35.68285944141013,139.52884319076065
Mitaka-shi,35.68421610828682,139.52691736724273
Mitaka-shi,35.68694055855997,139.5262576389789
Mitaka-shi,35.68817666681974,139.52449042169565
Mitaka-shi,35.69010444096722,139.52487513637845
Mitaka-shi,35.689487505144314,139.526832360625
Mitaka-shi,35.69067166676405,139.52854097268778
Mitaka-shi,35.688779171221825,139.5321618294049
Mitaka-shi,35.694613612927924,139.53136961121868
Mitaka-shi,35.694880838380016,139.53419849526438
Mitaka-shi,35.69897277527343,139.53393464316935
Mitaka-shi,35.69829138683809,139.53641713444324
Mitaka-shi,35.695331387033946,139.53651880729717
Mitaka-shi,35.69529361281002,139.5421907523014
Mitaka-shi,35.696719171352754,139.542442698272
Mitaka-shi,35.6950094414326,139.55066019501203
Mitaka-shi,35.706780837665576,139.5501677172664
Mitaka-shi,35.69892835955619,139.5705154730107
Mitaka-shi,35.6973591981685,139.57230128377728
